target_id,ed_annotated_index,conv_id,utterance_idx,target_num,author,emotion_context,prompt,raw_utterance,target_text,utterance_before_target,utterance_text,prior_speaker_turn,prior_dialog,dialog_and_target_text,act,act_source,intent,intent_source,prompt_dialog_target_text,emotion_prompt_dialog_target_text
hit:10002_conv:20005_turn:2_trg:0,68880,hit:10002_conv:20005,2,0,listener,guilty,<prompt> Eating someone's cake at work only to realize that there wasn't anymore left for them </prompt>,"haha, was that intentional to get revenge on him/her. or just that you were hungry?",<target> or just that you were hungry? </target>,"haha, was that intentional to get revenge on him/her. ","<listener> haha, was that intentional to get revenge on him/her.  <target> or just that you were hungry? </target>","<speaker> I ate my co-worker's cake, which was in the fridge </speaker>","<speaker> I ate my co-worker's cake, which was in the fridge </speaker>","<speaker> I ate my co-worker's cake, which was in the fridge </speaker> <listener> haha, was that intentional to get revenge on him/her.  <target> or just that you were hungry? </target>",Suggest a reason,QBERT,Express interest,QBERT,"<prompt> Eating someone's cake at work only to realize that there wasn't anymore left for them </prompt> <speaker> I ate my co-worker's cake, which was in the fridge </speaker> <listener> haha, was that intentional to get revenge on him/her.  <target> or just that you were hungry? </target>","<emotion> guilty <prompt> Eating someone's cake at work only to realize that there wasn't anymore left for them </prompt> <speaker> I ate my co-worker's cake, which was in the fridge </speaker> <listener> haha, was that intentional to get revenge on him/her.  <target> or just that you were hungry? </target>"
hit:10002_conv:20005_turn:4_trg:0,68882,hit:10002_conv:20005,4,0,listener,guilty,<prompt> Eating someone's cake at work only to realize that there wasn't anymore left for them </prompt>,haha. Did you tell him about it?,<target> Did you tell him about it? </target>,haha. ,<listener> haha.  <target> Did you tell him about it? </target>,"<speaker> I was hungry, I didn't' know it was his, and when he came back, there wasn't any cake remaining </speaker>","<speaker> I ate my co-worker's cake, which was in the fridge </speaker> <listener> haha, was that intentional to get revenge on him/her. or just that you were hungry? </listener> <speaker> I was hungry, I didn't' know it was his, and when he came back, there wasn't any cake remaining </speaker>","<speaker> I ate my co-worker's cake, which was in the fridge </speaker> <listener> haha, was that intentional to get revenge on him/her. or just that you were hungry? </listener> <speaker> I was hungry, I didn't' know it was his, and when he came back, there wasn't any cake remaining </speaker> <listener> haha.  <target> Did you tell him about it? </target>",Request information,mturk,Express concern,mturk,"<prompt> Eating someone's cake at work only to realize that there wasn't anymore left for them </prompt> <speaker> I ate my co-worker's cake, which was in the fridge </speaker> <listener> haha, was that intentional to get revenge on him/her. or just that you were hungry? </listener> <speaker> I was hungry, I didn't' know it was his, and when he came back, there wasn't any cake remaining </speaker> <listener> haha.  <target> Did you tell him about it? </target>","<emotion> guilty <prompt> Eating someone's cake at work only to realize that there wasn't anymore left for them </prompt> <speaker> I ate my co-worker's cake, which was in the fridge </speaker> <listener> haha, was that intentional to get revenge on him/her. or just that you were hungry? </listener> <speaker> I was hungry, I didn't' know it was his, and when he came back, there wasn't any cake remaining </speaker> <listener> haha.  <target> Did you tell him about it? </target>"
hit:10003_conv:20007_turn:2_trg:0,104024,hit:10003_conv:20007,2,0,listener,excited,<prompt> I got my bonus coming up on this paycheck. I have been saving money for a new car and I think I can finally get one! </prompt>,That is some exciting news. Do you already know what kind of vehicle you want?,<target> Do you already know what kind of vehicle you want? </target>,That is some exciting news. ,<listener> That is some exciting news.  <target> Do you already know what kind of vehicle you want? </target>,<speaker> Im expecting a good bonus to be on this check coming up. I can finally go buy a new car! </speaker>,<speaker> Im expecting a good bonus to be on this check coming up. I can finally go buy a new car! </speaker>,<speaker> Im expecting a good bonus to be on this check coming up. I can finally go buy a new car! </speaker> <listener> That is some exciting news.  <target> Do you already know what kind of vehicle you want? </target>,Request information,QBERT,Amplify excitement,QBERT,<prompt> I got my bonus coming up on this paycheck. I have been saving money for a new car and I think I can finally get one! </prompt> <speaker> Im expecting a good bonus to be on this check coming up. I can finally go buy a new car! </speaker> <listener> That is some exciting news.  <target> Do you already know what kind of vehicle you want? </target>,<emotion> excited <prompt> I got my bonus coming up on this paycheck. I have been saving money for a new car and I think I can finally get one! </prompt> <speaker> Im expecting a good bonus to be on this check coming up. I can finally go buy a new car! </speaker> <listener> That is some exciting news.  <target> Do you already know what kind of vehicle you want? </target>
hit:10004_conv:20008_turn:2_trg:0,68889,hit:10004_conv:20008,2,0,listener,surprised,<prompt> My little cousin gifted me for my birthday. I was so happy. He spent for me from his savings </prompt>,Very sweet of him. Did he surprise you?,<target> Did he surprise you? </target>,Very sweet of him. ,<listener> Very sweet of him.  <target> Did he surprise you? </target>,<speaker> My little cousin gifted me for my birthday </speaker>,<speaker> My little cousin gifted me for my birthday </speaker>,<speaker> My little cousin gifted me for my birthday </speaker> <listener> Very sweet of him.  <target> Did he surprise you? </target>,Request information,QBERT,Express interest,QBERT,<prompt> My little cousin gifted me for my birthday. I was so happy. He spent for me from his savings </prompt> <speaker> My little cousin gifted me for my birthday </speaker> <listener> Very sweet of him.  <target> Did he surprise you? </target>,<emotion> surprised <prompt> My little cousin gifted me for my birthday. I was so happy. He spent for me from his savings </prompt> <speaker> My little cousin gifted me for my birthday </speaker> <listener> Very sweet of him.  <target> Did he surprise you? </target>
hit:10004_conv:20009_turn:4_trg:0,104030,hit:10004_conv:20009,4,0,listener,confident,<prompt> I was sure I would do good on this exam coming up. I studied so hard for it.  </prompt>,Whats kind of exam is that?,<target> Whats kind of exam is that? </target>,,<listener>  <target> Whats kind of exam is that? </target>,<speaker> Thanks! It will be a breeze.  </speaker>,<speaker> I studied so hard and prepared for this exam tomorrow. I bet I will make no less than an A </speaker> <listener> I am sure you will. Good luck for you!! </listener> <speaker> Thanks! It will be a breeze.  </speaker>,<speaker> I studied so hard and prepared for this exam tomorrow. I bet I will make no less than an A </speaker> <listener> I am sure you will. Good luck for you!! </listener> <speaker> Thanks! It will be a breeze.  </speaker> <listener>  <target> Whats kind of exam is that? </target>,Request information,QBERT,Express interest,QBERT,<prompt> I was sure I would do good on this exam coming up. I studied so hard for it.  </prompt> <speaker> I studied so hard and prepared for this exam tomorrow. I bet I will make no less than an A </speaker> <listener> I am sure you will. Good luck for you!! </listener> <speaker> Thanks! It will be a breeze.  </speaker> <listener>  <target> Whats kind of exam is that? </target>,<emotion> confident <prompt> I was sure I would do good on this exam coming up. I studied so hard for it.  </prompt> <speaker> I studied so hard and prepared for this exam tomorrow. I bet I will make no less than an A </speaker> <listener> I am sure you will. Good luck for you!! </listener> <speaker> Thanks! It will be a breeze.  </speaker> <listener>  <target> Whats kind of exam is that? </target>
hit:10005_conv:20010_turn:4_trg:0,68895,hit:10005_conv:20010,4,0,listener,content,<prompt> I am happy with my current employer. Even though am getting a new job offer. </prompt>,Will you work there forever?,<target> Will you work there forever? </target>,,<listener>  <target> Will you work there forever? </target>,<speaker> Yeah feel like it. I very content with the current one as well </speaker>,"<speaker> I am happy with my current employer. even though am getting a new jon offers </speaker> <listener> That is good, maybe you can get a raise. </listener> <speaker> Yeah feel like it. I very content with the current one as well </speaker>","<speaker> I am happy with my current employer. even though am getting a new jon offers </speaker> <listener> That is good, maybe you can get a raise. </listener> <speaker> Yeah feel like it. I very content with the current one as well </speaker> <listener>  <target> Will you work there forever? </target>",Request information,QBERT,Express interest,QBERT,"<prompt> I am happy with my current employer. Even though am getting a new job offer. </prompt> <speaker> I am happy with my current employer. even though am getting a new jon offers </speaker> <listener> That is good, maybe you can get a raise. </listener> <speaker> Yeah feel like it. I very content with the current one as well </speaker> <listener>  <target> Will you work there forever? </target>","<emotion> content <prompt> I am happy with my current employer. Even though am getting a new job offer. </prompt> <speaker> I am happy with my current employer. even though am getting a new jon offers </speaker> <listener> That is good, maybe you can get a raise. </listener> <speaker> Yeah feel like it. I very content with the current one as well </speaker> <listener>  <target> Will you work there forever? </target>"
hit:10005_conv:20011_turn:2_trg:0,68897,hit:10005_conv:20011,2,0,listener,furious,<prompt> I am so mad my flight got canceled. </prompt>,"Ah that sucks, you were going for any business meeting?","<target> Ah that sucks, you were going for any business meeting? </target>",,"<listener>  <target> Ah that sucks, you were going for any business meeting? </target>",<speaker> I am so mad my flight got canceled. </speaker>,<speaker> I am so mad my flight got canceled. </speaker>,"<speaker> I am so mad my flight got canceled. </speaker> <listener>  <target> Ah that sucks, you were going for any business meeting? </target>",Request information,QBERT,Sympathize,QBERT,"<prompt> I am so mad my flight got canceled. </prompt> <speaker> I am so mad my flight got canceled. </speaker> <listener>  <target> Ah that sucks, you were going for any business meeting? </target>","<emotion> furious <prompt> I am so mad my flight got canceled. </prompt> <speaker> I am so mad my flight got canceled. </speaker> <listener>  <target> Ah that sucks, you were going for any business meeting? </target>"
hit:10006_conv:20012_turn:4_trg:0,68903,hit:10006_conv:20012,4,0,listener,afraid,<prompt> I am not able to pay for my mortgage. I think i will loose my home </prompt>,"Yeah, that sounds no good, what will you do now?","<target> Yeah, that sounds no good, what will you do now? </target>",,"<listener>  <target> Yeah, that sounds no good, what will you do now? </target>",<speaker> I know. i lost my job due to automation in the company. </speaker>,"<speaker> I am not able to pay for my mortgage. I think i will lose my home </speaker> <listener> Oh wow, that's not good at all </listener> <speaker> I know. i lost my job due to automation in the company. </speaker>","<speaker> I am not able to pay for my mortgage. I think i will lose my home </speaker> <listener> Oh wow, that's not good at all </listener> <speaker> I know. i lost my job due to automation in the company. </speaker> <listener>  <target> Yeah, that sounds no good, what will you do now? </target>",Ask about consequence,QBERT,Express concern,QBERT,"<prompt> I am not able to pay for my mortgage. I think i will loose my home </prompt> <speaker> I am not able to pay for my mortgage. I think i will lose my home </speaker> <listener> Oh wow, that's not good at all </listener> <speaker> I know. i lost my job due to automation in the company. </speaker> <listener>  <target> Yeah, that sounds no good, what will you do now? </target>","<emotion> afraid <prompt> I am not able to pay for my mortgage. I think i will loose my home </prompt> <speaker> I am not able to pay for my mortgage. I think i will lose my home </speaker> <listener> Oh wow, that's not good at all </listener> <speaker> I know. i lost my job due to automation in the company. </speaker> <listener>  <target> Yeah, that sounds no good, what will you do now? </target>"
hit:10007_conv:20014_turn:2_trg:0,68910,hit:10007_conv:20014,2,0,listener,nostalgic,<prompt> I found my old diary in basement. It brought back lot of memories </prompt>,How nostalgic! Was there anything in there that surprised you?,<target> Was there anything in there that surprised you? </target>,How nostalgic! ,<listener> How nostalgic!  <target> Was there anything in there that surprised you? </target>,<speaker> I found my old diary in the basement. It brought lot of memories </speaker>,<speaker> I found my old diary in the basement. It brought lot of memories </speaker>,<speaker> I found my old diary in the basement. It brought lot of memories </speaker> <listener> How nostalgic!  <target> Was there anything in there that surprised you? </target>,Request information,mturk,Express interest,mturk,<prompt> I found my old diary in basement. It brought back lot of memories </prompt> <speaker> I found my old diary in the basement. It brought lot of memories </speaker> <listener> How nostalgic!  <target> Was there anything in there that surprised you? </target>,<emotion> nostalgic <prompt> I found my old diary in basement. It brought back lot of memories </prompt> <speaker> I found my old diary in the basement. It brought lot of memories </speaker> <listener> How nostalgic!  <target> Was there anything in there that surprised you? </target>
hit:10007_conv:20014_turn:4_trg:0,68912,hit:10007_conv:20014,4,0,listener,nostalgic,<prompt> I found my old diary in basement. It brought back lot of memories </prompt>,That's so cute. How old were you?,<target> How old were you? </target>,That's so cute. ,<listener> That's so cute.  <target> How old were you? </target>,<speaker> my first love letter which i received. I have read that 5 times again lol </speaker>,<speaker> I found my old diary in the basement. It brought lot of memories </speaker> <listener> How nostalgic! Was there anything in there that surprised you? </listener> <speaker> my first love letter which i received. I have read that 5 times again lol </speaker>,<speaker> I found my old diary in the basement. It brought lot of memories </speaker> <listener> How nostalgic! Was there anything in there that surprised you? </listener> <speaker> my first love letter which i received. I have read that 5 times again lol </speaker> <listener> That's so cute.  <target> How old were you? </target>,Request information,mturk,Express interest,mturk,<prompt> I found my old diary in basement. It brought back lot of memories </prompt> <speaker> I found my old diary in the basement. It brought lot of memories </speaker> <listener> How nostalgic! Was there anything in there that surprised you? </listener> <speaker> my first love letter which i received. I have read that 5 times again lol </speaker> <listener> That's so cute.  <target> How old were you? </target>,<emotion> nostalgic <prompt> I found my old diary in basement. It brought back lot of memories </prompt> <speaker> I found my old diary in the basement. It brought lot of memories </speaker> <listener> How nostalgic! Was there anything in there that surprised you? </listener> <speaker> my first love letter which i received. I have read that 5 times again lol </speaker> <listener> That's so cute.  <target> How old were you? </target>
