,tweet_id,tweet_text,preprocessed,prob_hope,prob_empathy_distress,annotation1,annotation2,annotation3,gold_label,language
1386671861346471936,1386671861346471936,"We feel pain for India and we also pray for India but never forget the pain of Kashmiri people,Now India should und… https://t.co/BZy0rcdS02
",we feel pain for india and we also pray for india but never forget the pain of kashmiri people now india should und,0.0061435759538668,0.7194568,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1385642940496683008,1385642940496683008,"RT @itxtibo: Prayers for India where situation is getting out of hands. India is going through horrible time .May Allah have mercy on all A…
",rt prayers for india where situation is getting out of hands india is going through horrible time may allah have mercy on all a,0.0189129898717271,0.8174958,Supportive,Supportive,Supportive,Supportive,en
1386576994247364608,1386576994247364608,"We are Human  And We know Humanity Has no Religion We are with u #India 🇵🇰🇮🇳 U r note Alone in this War  We fought… https://t.co/lpa6lYdnSW
",we are human and we know humanity has no religion we are with u u r note alone in this war we fought,0.3232770423767028,0.727901,Supportive,Supportive,Supportive,Supportive,en
1385842770691067904,1385842770691067904,"@KasthuriShankar Heart breaking  DELHI is live example now Will TAMILNADU wake up to tackle O2 demand in May 2nd we… https://t.co/HLLD0KbLwe
",heart breaking delhi is live example now will tamilnadu wake up to tackle o2 demand in may 2nd we,0.0083643329023251,0.680918,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1386655854997430272,1386655854997430272,"RT @Meenay97: Prayers for people of India .. May Allah pak have mercy upon all of us and save us all from covid. 🙏 such a painful🥺 and hear…
",rt prayers for people of india may allah pak have mercy upon all of us and save us all from covid such a painful and hear,0.0488601464123348,0.78641474,Supportive,Supportive,Supportive,Supportive,en
1385943879262867457,1385943879262867457,"India is in its worst condition of Covid-19. Hospitals stop admissions of patients due to unavailability of oxygen… https://t.co/SmenfhV97g
",india is in its worst condition of covid 19 hospitals stop admissions of patients due to unavailability of oxygen,0.0046428564802344,0.7738265,Supportive,Supportive,Supportive,Supportive,en
1386242081362960384,1386242081362960384,"RT @hermainkhan2: Sending lots of Prayers and love for Indians.  Get well Soon from Covid. May Allah keep all of us safe. AMEEN  #Pakistans…
",rt sending lots of prayers and love for indians get well soon from covid may allah keep all of us safe ameen,0.0884462500362252,0.81317616,Supportive,Supportive,Supportive,Supportive,en
1385819926259281920,1385819926259281920,"#PakistanstandswithIndia.. Dear Indian brothers we are with you in this worst situation... All of us are well known… https://t.co/RjsBYmp1yo
",dear indian brothers we are with you in this worst situation all of us are well known,0.3554344041267414,0.7428291,Supportive,Supportive,Supportive,Supportive,en
1385917350206128128,1385917350206128128,"Besides the hindu or muslims, Indians or Pakistanis we all are humans first ,pray for the humanity. May Allah pak h… https://t.co/k0dto2JpNi
",besides the hindu or muslims indians or pakistanis we all are humans first pray for the humanity may allah pak h,0.1012780868915148,0.7516841,Supportive,Supportive,Supportive,Supportive,en
1385974487687090177,1385974487687090177,"https://t.co/lOEMXuJiEN Motorola has introduced new smartphones in the Moto G series.  #motorola #MotoG60… https://t.co/5nz8DM9oLE
",motorola has introduced new smartphones in the moto g series,0.0028709668489795,0.69465524,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1386227607176425472,1386227607176425472,"People of Indian occupied jammu and kashmir should be given their promised right of self determination as per UN re… https://t.co/3j6X1w62Zb
",people of indian occupied jammu and kashmir should be given their promised right of self determination as per un re,0.0063372687421532,0.7928925,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1386027586153766914,1386027586153766914,"The images coming out of #India are horrific. Let's pray that the Indians come out of this crises soon &amp; lets ensur… https://t.co/SnW5UMybBi
",the images coming out of are horrific let s pray that the indians come out of this crises soon amp lets ensur,0.0051590458908892,0.7024902,Supportive,Supportive,Supportive,Supportive,en
1385892892632248324,1385892892632248324,"RT @QureshiSayss_: Humanity comes first. Keeping all the differences aside, we stand with India at this rush hour. #PakistanstandswithIndia…
",rt humanity comes first keeping all the differences aside we stand with india at this rush hour,0.0567066949393759,0.68142134,Supportive,Supportive,Supportive,Supportive,en
1386676564830654464,1386676564830654464,"RT @ThembiMrototo: Busy afternoon on @eNCA today. Following the latest news on the #cokabrothers and #Tshegofatsopule cases, ANC step-aside…
",rt busy afternoon on today following the latest news on the and cases anc step aside,0.0132467571316592,0.63464415,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1385686804997853184,1385686804997853184,"May God protect both India and Pakistan from Corona. Humanity first 🇮🇳  🇵🇰 #PakistanstandswithIndia
",may god protect both india and pakistan from corona humanity first,0.2851306436415002,0.74498814,Supportive,Supportive,Supportive,Supportive,en
1387255088134037509,1387255088134037509,"RT @IndianGuru9: International flights resumed from Delhi to Newyork United airlines canc... https://t.co/oguvoba4K0 via @YouTube #indianee…
",rt international flights resumed from delhi to newyork united airlines canc via,0.0029584756500784,0.66902345,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1386337199218696198,1386337199218696198,"RT @AnzarNaqvi: Its time to follow SOPs strictly. For God Sake. Minor precautions can provide protection and lessen the threat. #UnitedWeSt…
",rt its time to follow sops strictly for god sake minor precautions can provide protection and lessen the threat,0.0115030219248315,0.610833,Not Supportive,Supportive,Not Supportive,Not Supportive,en
1386035343271501827,1386035343271501827,"RT @PirzadaUsamaa: I wanna ask to Indian community , do you have tears in your eyes? Probably yes. You know what, from previous 628 days co…
",rt i wanna ask to indian community do you have tears in your eyes probably yes you know what from previous 628 days co,0.0022821381156014,0.7017867,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1386028290880811008,1386028290880811008,"Free kashmir. God will free your massacre  Fool pm modi #EndiaSaySorryToKashmir
",free kashmir god will free your massacre fool pm modi,0.0025150252230221,0.79684454,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1386621783357288448,1386621783357288448,"Those who were dreaming of buying a plot/land in scnenic landscapes of Kashmir , aren't able to get an oxygen cylin… https://t.co/tgjzai1yGp
",those who were dreaming of buying a plot land in scnenic landscapes of kashmir aren t able to get an oxygen cylin,0.0005464335502175,0.6424286,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1388867170101125126,1388867170101125126,"I would urge every individual to unite as one and help one another in all possible ways rather than fighting amongs… https://t.co/h17VkLq72K
",i would urge every individual to unite as one and help one another in all possible ways rather than fighting amongs,0.0202727598053368,0.69690794,Supportive,Supportive,Supportive,Supportive,en
1386025804077797376,1386025804077797376,"Did any of your Bengal rally followed the Covid Appropriate behavior, Sir?  You have betrayed the supporters like u… https://t.co/cw5V9UnMNw
",did any of your bengal rally followed the covid appropriate behavior sir you have betrayed the supporters like u,0.0114003776576248,0.70606816,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1385915789270601730,1385915789270601730,"17 March,2020(Rahul Gandhi)  -A massive Tsunami is coming. I have been warning the Gov again and again. (everyone m… https://t.co/aevQRMym6R
",17 march 2020 rahul gandhi a massive tsunami is coming i have been warning the gov again and again everyone m,0.0010704795266858,0.7357536,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1386012572063784962,1386012572063784962,"Clearly depicts we are enemies of each other in happy condition but can't be when someone is suffering #humanity… https://t.co/KimaksOlCD
",clearly depicts we are enemies of each other in happy condition but can t be when someone is suffering,0.0156433065666572,0.6505488,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1385872316140298240,1385872316140298240,"Don't loose hoPe, difficult time will pass inshAllah, now it's time for both nations to cut war and do something fo… https://t.co/qPSm2OTZGQ
",don t loose hope difficult time will pass inshallah now it s time for both nations to cut war and do something fo,0.4794266771333657,0.7370993,Supportive,Supportive,Supportive,Supportive,en
1385910258040778754,1385910258040778754,"RT @Ganga_Times: @ImranKhanPTI @Shadabm62912729 Pakistan PM sends wishes standing with the people of India. #PakistanstandswithIndia https:…
",rt pakistan pm sends wishes standing with the people of india https,0.0233401957594787,0.7296903,Supportive,Supportive,Supportive,Supportive,en
1389270250164826123,1389270250164826123,"85% of players taking part in  #IPL2021 mostly Indians are carriers of deadly covid-19. #IndiaChoked #IndiaNeedsOxygen #indiacovid
",85 of players taking part in mostly indians are carriers of deadly covid 19,0.0024967818414943,0.6352871,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1385949241831563264,1385949241831563264,"#PakistanstandswithIndia  Heartiest prayers for India and all other suffering from this pandemic May Allah have mer… https://t.co/XWPidx53tX
",heartiest prayers for india and all other suffering from this pandemic may allah have mer,0.0668648875609499,0.80750954,Supportive,Supportive,Supportive,Supportive,en
1385871429850308608,1385871429850308608,"@ImranKhanPTI A positive message from all of us towards neighbors. What a generous move towards peace.  #HumanityFirst #IndiaNeedsOxygen
",a positive message from all of us towards neighbors what a generous move towards peace,0.3848125686555346,0.74448454,Supportive,Supportive,Supportive,Supportive,en
1385939175279575043,1385939175279575043,"RT @real_AtifKhan: Very Happy to saw this #PakistanstandswithIndia top trend on twitter in Pakistan, pakistanis shows empathy with indians…
",rt very happy to saw this top trend on twitter in pakistan pakistanis shows empathy with indians,0.0107796450584087,0.6959032,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1385936643727761408,1385936643727761408,"RT @jogiii512: We admit a mistake was made... There was some information about a white car with terrorists. Obviously, the identity was mis…
",rt we admit a mistake was made there was some information about a white car with terrorists obviously the identity was mis,0.0041972461730127,0.60014415,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1386038381382193152,1386038381382193152,"RT @nagena_khan: Situation in india right now .  Let’s pray for India Let’s pray for Humanity. 🤍  #PakistanstandswithIndia. We Can feel pai…
",rt situation in india right now let s pray for india let s pray for humanity we can feel pai,0.2524093531220909,0.78340346,Supportive,Supportive,Supportive,Supportive,en
1385859467854573568,1385859467854573568,"This #PakistanstandswithIndia is trending. Dil jeet liya ye dekh kar.  Hatred isn't between people but it's only be… https://t.co/GJCOCe4tiD
",this is trending dil jeet liya ye dekh kar hatred isn t between people but it s only be,0.3033666522975411,0.6482654,Supportive,Supportive,Supportive,Supportive,en
1385967231545217024,1385967231545217024,"@IAF_MCC @DefenceMinIndia @SpokespersonMoD @indiannavy @adgpi @HQ_IDS_India @MoHFW_INDIA @PIB_India @MIB_India… https://t.co/8QBs3v69Ky
",,0.0082024405426152,0.79227453,Supportive,Supportive,Supportive,Supportive,id
1385964758575161344,1385964758575161344,"#Thankyou From india to every pakistan citizens. you win our Heart #PakistanstandswithIndia https://t.co/L2s3Mfvvee
",from india to every pakistan citizens you win our heart,0.058364532607272,0.7568088,Supportive,Supportive,Supportive,Supportive,en
1385351054603132928,1385351054603132928,"@EmmanuelMacron @JoeBiden @borisjohnson Thank you for your pledges today, &amp; your efforts to save the planet. What c… https://t.co/WHOyLoEI7D
",thank you for your pledges today amp your efforts to save the planet what c,0.0083390497660945,0.8181675,Supportive,Supportive,Supportive,Supportive,en
1385892281715027969,1385892281715027969,"Quite accurate. They're milking this entire situation to earn some brownie points and the tone of most of their twe… https://t.co/dSui2ZIoLS
",quite accurate they re milking this entire situation to earn some brownie points and the tone of most of their twe,0.0074643398139133,0.62550867,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1385866912962285577,1385866912962285577,"It's great to see that the shared bonds of humanity do exists between the two, at the time when India is facing the… https://t.co/kqUXTrattB
",it s great to see that the shared bonds of humanity do exists between the two at the time when india is facing the,0.0940091445848828,0.68402994,Supportive,Supportive,Supportive,Supportive,en
1385862589725478912,1385862589725478912,"In this epidemic, we stand with the Indians. The voice of every Pakistani's heart. Tera Ghum 🇮🇳 Mera Ghum🇵🇰… https://t.co/Ow56G7z941
",in this epidemic we stand with the indians the voice of every pakistani s heart tera ghum mera ghum,0.036629940714051,0.7915,Supportive,Supportive,Supportive,Supportive,en
1385668524455206916,1385668524455206916,"RT @soooperwoman: Priorities. How you expect India to be merciful to Kashmiris when they are insensitive to their own people's condition...…
",rt priorities how you expect india to be merciful to kashmiris when they are insensitive to their own people s condition,0.01430362038705,0.75148803,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1387266674215227396,1387266674215227396,"Put up and shut up, message, from India’s ruling Party politicians #YogiAdityanath #YogiFailsUP #IndiaFightsCOVID19… https://t.co/qVvhwnbXsJ
",put up and shut up message from india s ruling party politicians,0.0249355410171083,0.6892177,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1387385642078941184,1387385642078941184,"When India give freedom to the people of Jammu Kashmir. It is the punishment that Allah is giving the whole world b… https://t.co/ebxo6wEp6R
",when india give freedom to the people of jammu kashmir it is the punishment that allah is giving the whole world b,0.0016517521164456,0.74003124,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1386460784734064642,1386460784734064642,"one year ago he said these words but that time ppl ignored him&amp;his words as a opposition party leader. intelligent… https://t.co/U7hRGDa871
",one year ago he said these words but that time ppl ignored him amp his words as a opposition party leader intelligent,0.0011351520277688,0.65643936,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1386609410370199554,1386609410370199554,"It's time to call a spade a spade #indianeedoxygen #COVIDEmergency2021 #Corona #coronavirus #DelhiCovid  #Trump… https://t.co/EGCk4wOQFO
",it s time to call a spade a spade,0.0140893379801163,0.6173248,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1385736387060768768,1385736387060768768,"RT @qeelKhan3: Two nuclear powers: one without vaccine, the other with oxygen. Praying for India. By the blessings of Ramzan May Allah bles…
",rt two nuclear powers one without vaccine the other with oxygen praying for india by the blessings of ramzan may allah bles,0.028808004960538,0.794169,Supportive,Supportive,Supportive,Supportive,en
1386218933624127490,1386218933624127490,"@Taimur_Laal True but Pakistan have not witness anything like we Indians witnessing from last 2 weeks. I hope… https://t.co/YRopxmS3xT
",true but pakistan have not witness anything like we indians witnessing from last 2 weeks i hope,0.0198712221418375,0.6852154,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1386217553899315207,1386217553899315207,"RT @ZParwal: In 280 characters or less lives are being saved by kind people.   But just like the “system” failing India, it is the SYSTEM r…
",rt in 280 characters or less lives are being saved by kind people but just like the system failing india it is the system r,0.00272910588855,0.64877814,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1386048644093202432,1386048644093202432,"#News, images and footages from India are heart breaking. Prayers and thoughts for our neighbour country, May you a… https://t.co/pnHXlBwqsu
",images and footages from india are heart breaking prayers and thoughts for our neighbour country may you a,0.1634783547230678,0.8039221,Supportive,Supportive,Supportive,Supportive,en
1386244020200947715,1386244020200947715,"I stand with India with my prayers. Praying for you India. #indianeedoxygen
",i stand with india with my prayers praying for you india,0.0245563349039199,0.7372802,Supportive,Supportive,Supportive,Supportive,en
1386293962734850055,1386293962734850055,"Microsoft Azure: Automating With PowerShell (Cloud Series 2021) by SACHIN Sri... https://t.co/GG6wbqbRk6 via… https://t.co/pHMMesA9DX
",microsoft azure automating with powershell cloud series 2021 by sachin sri via,0.0022721838333463,0.6886563,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1385746757729103872,1385746757729103872,"It all about humanity. Prayers for the people of India in this difficult time. May Almighty protect everyone and en… https://t.co/V8tz7t4fgT
",it all about humanity prayers for the people of india in this difficult time may almighty protect everyone and en,0.0958806785690009,0.8182605,Supportive,Supportive,Supportive,Supportive,en
1388809508521086976,1388809508521086976,"Kudos to over 290 participants who've cycled over the last two days for the #CycleToSaveLives challenge by @BAPS. S… https://t.co/gHVPep2rcs
",kudos to over 290 participants who ve cycled over the last two days for the challenge by s,0.014811732411231,0.669583,Not Supportive,Supportive,Supportive,Supportive,en
1386976461123379200,1386976461123379200,"#pakistanstandwithindia  we are with you india in this pandemic situation. IN SHA ALLAH everything will get normal Stay Safe   from Pakistan
",we are with you india in this pandemic situation in sha allah everything will get normal stay safe from pakistan,0.0259572248998197,0.7566518,Supportive,Supportive,Supportive,Supportive,en
1386212570969763840,1386212570969763840,"We all know how resilient and strong India and her people are. Sending thoughts of peace and well being to all our… https://t.co/KPYxqtxAHL
",we all know how resilient and strong india and her people are sending thoughts of peace and well being to all our,0.3869062833343496,0.7465249,Supportive,Supportive,Supportive,Supportive,en
1385962475653316608,1385962475653316608,"RT @Afridi_10_: #EndiaSaySorryToKashmir “There are 900,000 troops there; they haven’t come, as Narendra Modi says — for the prosperity of K…
",rt there are 900 000 troops there they haven t come as narendra modi says for the prosperity of k,0.003569759475447,0.67147094,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1387923717964148744,1387923717964148744,"Where is #IndianArmy ????  Why are we not deploying #Military to help #DyingIndia ????  What is WAR if not this?… https://t.co/6fBg1rb8PZ
",where is why are we not deploying to help what is war if not this,0.0325279230037095,0.65160364,Not Supportive,Not Supportive,Supportive,Not Supportive,en
1385563240596451331,1385563240596451331,"RT @SonainaSwati: Keeping All the disputes and conflicts aside, Faisal Edhi has offered to send 50 ambulances to India for Covid patients.…
",rt keeping all the disputes and conflicts aside faisal edhi has offered to send 50 ambulances to india for covid patients,0.0464228866949227,0.7182883,Supportive,Supportive,Supportive,Supportive,en
1385747040030822406,1385747040030822406,"I just want to tell u guys k mask pehn’na, vent py shift hony sy bhtr hy...May Allah save all of us from all diseas… https://t.co/cUZLe0RazD
",i just want to tell u guys k mask pehn na vent py shift hony sy bhtr hy may allah save all of us from all diseas,0.012784091958248,0.6875898,Supportive,Supportive,Supportive,Supportive,en
1385805661204848642,1385805661204848642,"@bbcasiannetwork Cynicism, geopolitics, globalist, adversarial relationship, religious intolerance &amp; Infallible are… https://t.co/ZqLDlH3HJO
",cynicism geopolitics globalist adversarial relationship religious intolerance amp infallible are,0.0121702124833346,0.7112478,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1385989561969528832,1385989561969528832,"health care ,trade&amp;funding education will make south Asia a better place; nuclear weapons and arms race will not.… https://t.co/LWRMUWFGHp
",health care trade amp funding education will make south asia a better place nuclear weapons and arms race will not,0.0336003014583186,0.6863896,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1385352567077670913,1385352567077670913,"It is our right to help our neighbor, no matter how he treats us, because our religion (Islam) tells us to help peo… https://t.co/EtLejQoZQg
",it is our right to help our neighbor no matter how he treats us because our religion islam tells us to help peo,0.0387649438468555,0.69249684,Supportive,Supportive,Supportive,Supportive,en
1385872332925853696,1385872332925853696,"RT @Minha__Ahmed: On this blessed day, we extend our prayers for our neighbours and people all around the world including Pakistan. May All…
",rt on this blessed day we extend our prayers for our neighbours and people all around the world including pakistan may all,0.0798117089554726,0.78442734,Supportive,Supportive,Supportive,Supportive,en
1385625436860862468,1385625436860862468,"I came across today a wonderful tweet. Let me translate. South Asian 2 atomic powers-1 hasn't Vaccine &amp; 2nd hasn't… https://t.co/xMYyKCwE0g
",i came across today a wonderful tweet let me translate south asian 2 atomic powers 1 hasn t vaccine amp 2nd hasn t,0.0024846312753256,0.7084335,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1385930593230282752,1385930593230282752,"There should be a trend in which we both say sorry to Kashmir. Endians occupied Kashmir forcefully and we didn't do… https://t.co/kUocaedejp
",there should be a trend in which we both say sorry to kashmir endians occupied kashmir forcefully and we didn t do,0.003017904044555,0.6518354,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1385369572098953219,1385369572098953219,"Humanity is above everything. That's what our Prophet ﷺ and islam teaches us? we request our prime minister… https://t.co/HdMNR3nTlZ
",humanity is above everything that s what our prophet and islam teaches us we request our prime minister,0.020341045324022,0.7229727,Supportive,Supportive,Supportive,Supportive,en
1385374765440016385,1385374765440016385,"RT @iam_JZK: 🇮🇳 | The situation in India is very Very Difficult and Painful. May everyone heal and stay Negative from COVID. Our All Prayer…
",rt the situation in india is very very difficult and painful may everyone heal and stay negative from covid our all prayer,0.129539531121014,0.7718261,Supportive,Supportive,Supportive,Supportive,en
1386877834682060803,1386877834682060803,"@majorgauravarya Shame on you Mr. Arya. We couldn't expect you could that much cheap to spread propaganda against P… https://t.co/RNL2UnhNa0
",shame on you mr arya we couldn t expect you could that much cheap to spread propaganda against p,0.0076651190534682,0.65845525,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1385983549610807296,1385983549610807296,"#EndiaSaySorryToKashmir Allah has been seeing the oppression of #Endia on #kashmirismuslims since a long, Now it's… https://t.co/63N25Lzf4p
",allah has been seeing the oppression of on since a long now it s,0.0029163522072838,0.67538846,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1385973029663092738,1385973029663092738,"May ALLAH protect India, I wish Pakistan helps them as much they can @ImranKhanPTI @PakPMO #IndiaNeedsOxygen
",may allah protect india i wish pakistan helps them as much they can,0.0129225785037772,0.72986203,Supportive,Supportive,Supportive,Supportive,en
1386289395666276366,1386289395666276366,"RT @armanmunna0: People are dying,medicine is not reaching the needy and some people are selling their faith in it by black marketing  Peop…
",rt people are dying medicine is not reaching the needy and some people are selling their faith in it by black marketing peop,0.0043293632996284,0.69112325,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1385811412438552577,1385811412438552577,"Thanks to people of Pakistan for solidarity!  Ignore Godi media. #ModiAbandonedIndia #PakistanstandswithIndia… https://t.co/BiUNctIk3r
",thanks to people of pakistan for solidarity ignore godi media,0.0690151825229767,0.7624541,Supportive,Supportive,Supportive,Supportive,en
1385948464622694407,1385948464622694407,"Anthr #COVIDEmergency2021 attrocity frm @BJP4India minister https://t.co/leiNDCUuz7 If u ask abut #indianeedoxygen… https://t.co/QFYA5rug38
",anthr attrocity frm minister if u ask abut,0.0068865359725064,0.63097227,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1385553263425200129,1385553263425200129,"RT @MBBS_OnGoing: Firstly, I hope situation gets better in India . . . . . . . . . . . . . . . .  . ~Secondly, I hope world never have to m…
",rt firstly i hope situation gets better in india secondly i hope world never have to m,0.0262808910251544,0.6959442,Supportive,Supportive,Supportive,Supportive,en
1385929129401491456,1385929129401491456,"Heart Breaking Scene 💔 Stay Strong #India  May Allah Protect you all 🙏 #PakistanstandswithIndia https://t.co/NvIjBU5ISO
",heart breaking scene stay strong may allah protect you all,0.0326655967845715,0.7958143,Supportive,Supportive,Supportive,Supportive,en
1386249940976951299,1386249940976951299,"We should stop investing in weapons and start investing in people. Get well soon dear neighbors we are praying for… https://t.co/SneFwvXwHv
",we should stop investing in weapons and start investing in people get well soon dear neighbors we are praying for,0.05417067150662,0.7710692,Not Supportive,Supportive,Supportive,Supportive,en
1385837216757428224,1385837216757428224,"By making the trends ....Pakistanis are telling the world that they care about India...they don't care about Kashmi… https://t.co/rKeoV04GA7
",by making the trends pakistanis are telling the world that they care about india they don t care about kashmi,0.0015001702733395,0.68066657,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1387470048550342657,1387470048550342657,"I hope that India, together with other countries, will overcome this pandemic soon. #ChaingeFinance… https://t.co/KbePzRoDei
",i hope that india together with other countries will overcome this pandemic soon,0.0699928463927603,0.7497773,Supportive,Supportive,Supportive,Supportive,en
1385964650538360832,1385964650538360832,"If you don't have humanity, you aren't worthy of being called a human being. Allah! Please save the people of india… https://t.co/rAsDZxpK99
",if you don t have humanity you aren t worthy of being called a human being allah please save the people of india,0.0681368595334224,0.7782785,Supportive,Supportive,Supportive,Supportive,en
1385956218095783936,1385956218095783936,"we are stand with indian people in this difficult times for humanity our prayers amd wishes for indian people i hop… https://t.co/qgM9T7Ny1B
",we are stand with indian people in this difficult times for humanity our prayers amd wishes for indian people i hop,0.2744978234098997,0.78739405,Supportive,Supportive,Supportive,Supportive,en
1385964151437209600,1385964151437209600,"RT @WafaWazir3: Prayers for Indians. Everything aside, we stand with India in these difficult situation. Condolences for the families who l…
",rt prayers for indians everything aside we stand with india in these difficult situation condolences for the families who l,0.0148609150262684,0.81521684,Supportive,Supportive,Supportive,Supportive,en
1385520958119677953,1385520958119677953,"RT @aysha_jkhan1: India being one of poorest countries in the world and arch rival of Pakistan having had 3 wars with india still Pakistani…
",rt india being one of poorest countries in the world and arch rival of pakistan having had 3 wars with india still pakistani,0.0786603849482143,0.7308467,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
